url,doc_id,title,audience,department,category,language,document_version,license_or_permission
https://fit.neu.edu.vn/post/hoc-phi-neu-nam-hoc-2026-2027-theo-quyet-dinh-985,neu-tuition-decision-985-2026-2027,Học phí NEU năm học 2026-2027 theo Quyết định 985,student,finance,tuition-fees,vi,2026-2027,public-source
https://fit.neu.edu.vn/post/neu-tuition-fees-2025-2026,neu-tuition-fees-2025-2026,Học phí NEU năm học 2025-2026,student,finance,tuition-fees,vi,2025-2026,public-source
https://example.edu/quy-dinh/dang-ky-hoc-phan,course-registration-deadline,Quy định đăng ký học phần,student,academic-affairs,registration,vi,not-stated,public-source
https://uet.vnu.edu.vn/gia-han-thoi-gian-nop-hoc-phi-trong-hkii-nam-hoc-2025-2026/,uet-tuition-payment-extension-2025-2026,Gia hạn thời gian nộp học phí trong học kỳ II năm học 2025-2026,student,finance,tuition,vi,2025-2026,public-source
https://uet.vnu.edu.vn/hoan-tra-hoc-phi-cho-sinh-vien-thuoc-chuong-trinh-chat-luong-cao-theo-thong-tu-23-2014-tt-bgddt-tot-nghiep-dot-xet-thang-03-nam-2026/,uet-tuition-refund-2026-03,Hoàn trả học phí cho sinh viên chương trình chất lượng cao tốt nghiệp đợt xét tháng 03 năm 2026,student,finance,tuition-refund,vi,2026-03,public-source
https://www.hanu.vn/a/190952/Muc-thu-hoc-phi-nam-hoc-2025-2026-cac-chuong-trinh-dao-tao-doi-voi-cac-khoa-tuyen-sinh-nam-hoc-2022-2023-2023-2024-va-2024-2025-cua-Truong-Dai-hoc-Ha-Noi,hanu-tuition-2025-2026,Mức thu học phí năm học 2025-2026 các chương trình đào tạo,student,finance,tuition,vi,2025-2026,public-source
https://usth.edu.vn/thong-bao-quy-dinh-muc-hoc-phi-chinh-thuc-ap-dung-cho-nam-hoc-2026-2027-33107/,usth-tuition-2026-2027,Thông báo quy định mức học phí chính thức áp dụng cho năm học 2026-2027,student,finance,tuition,vi,2026-2027,public-source
https://usth.edu.vn/tb-ve-viec-thu-hoc-phi-hoc-ky-ii-nam-hoc-2025-2026-chuong-trinh-dao-tao-trinh-do-dai-hoc-29249/,usth-tuition-semester-2-2025-2026,Thông báo thu học phí học kỳ II năm học 2025-2026 hệ đại học,student,finance,tuition,vi,2025-2026,public-source
https://uet.edu.vn/dinh-muc-hoc-phi-dao-tao-dai-hoc-nam-hoc-2024-2025/,uet-tuition-2024-2025,Quy định định mức học phí đào tạo đại học năm học 2024-2025,student,finance,tuition,vi,2024-2025,public-source
https://ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=43466,hust-tuition-2024-2025,Thông báo về mức học phí đối với các chương trình đào tạo năm học 2024-2025,student,finance,tuition,vi,2024-2025,public-source
